date,blpg,blpg_2,blpg_3
2019-04-24,65.036,,
2019-04-25,63.857,,
2019-04-26,62.714,,
2019-04-29,61.357,,
2019-04-30,60.286,,
2019-05-01,59.833,,
2019-05-02,59.0,,
2019-05-03,58.071,,
2019-05-07,57.357,,
2019-05-08,56.143,,
2019-05-09,55.143,,
2019-05-10,54.714,,
2019-05-13,54.286,,
2019-05-14,53.929,,
2019-05-15,53.571,,
2019-05-16,54.429,,
2019-05-17,56.667,,
2019-05-20,57.286,,
2019-05-21,58.286,,
2019-05-22,59.536,,
2019-05-23,60.5,,
2019-05-24,60.571,,
2019-05-28,61.429,,
2019-05-29,61.714,,
2019-05-30,63.0,,
2019-05-31,64.214,,
2019-06-03,65.786,,
2019-06-04,66.929,,
2019-06-05,67.286,,
2019-06-06,67.429,,
2019-06-07,67.429,,
2019-06-10,67.429,,
2019-06-11,68.429,,
2019-06-12,70.714,,
2019-06-13,73.429,,
2019-06-14,75.143,,
2019-06-17,77.429,,
2019-06-18,79.429,,
2019-06-19,79.857,,
2019-06-20,79.786,,
2019-06-21,79.714,,
2019-06-24,79.357,,
2019-06-25,78.429,,
2019-06-26,78.071,,
2019-06-27,78.143,,
2019-06-28,78.214,,
2019-07-01,78.5,,
2019-07-02,78.857,,
2019-07-03,79.143,,
2019-07-04,79.214,,
2019-07-05,78.786,,
2019-07-08,78.107,,
2019-07-09,77.821,,
2019-07-10,77.536,,
2019-07-11,76.571,,
2019-07-12,76.143,,
2019-07-15,75.929,,
2019-07-16,76.0,,
2019-07-17,75.429,,
2019-07-18,74.857,,
2019-07-19,73.714,,
2019-07-22,72.643,,
2019-07-23,71.5,,
2019-07-24,70.214,,
2019-07-25,69.786,,
2019-07-26,69.357,,
2019-07-29,69.714,,
2019-07-30,69.857,,
2019-07-31,69.5,,
2019-08-01,69.143,,
2019-08-02,68.714,,
2019-08-05,67.857,,
2019-08-06,66.571,,
2019-08-07,64.357,,
2019-08-08,63.0,,
2019-08-09,61.571,,
2019-08-12,60.571,,
2019-08-13,60.286,,
2019-08-14,57.898,,
2019-08-15,53.5,,
2019-08-16,52.643,,
2019-08-19,54.429,,
2019-08-20,56.857,,
2019-08-21,59.714,,
2019-08-22,60.786,,
2019-08-23,61.143,,
2019-08-27,60.786,,
2019-08-28,60.286,,
2019-08-29,59.714,,
2019-08-30,58.571,,
2019-09-02,57.929,,
2019-09-03,57.643,,
2019-09-04,57.143,,
2019-09-05,56.857,,
2019-09-06,57.0,,
2019-09-09,57.036,,
2019-09-10,56.5,,
2019-09-11,57.0,,
2019-09-12,57.643,,
2019-09-13,58.786,,
2019-09-16,59.857,,
2019-09-17,62.0,,
2019-09-18,62.929,,
2019-09-19,64.143,,
2019-09-20,65.429,,
2019-09-23,66.0,,
2019-09-24,66.571,,
2019-09-25,66.857,,
2019-09-26,67.0,,
2019-09-27,68.286,,
2019-09-30,69.143,,
2019-10-01,70.571,,
2019-10-02,72.571,,
2019-10-03,74.857,,
2019-10-04,75.571,,
2019-10-07,75.786,,
2019-10-08,76.429,,
2019-10-09,79.429,,
2019-10-10,80.714,,
2019-10-11,81.143,,
2019-10-14,81.0,,
2019-10-15,81.0,,
2019-10-16,79.214,,
2019-10-17,76.857,,
2019-10-18,74.0,,
2019-10-21,71.143,,
2019-10-22,70.571,,
2019-10-23,70.286,,
2019-10-24,70.786,,
2019-10-25,71.571,,
2019-10-28,71.786,,
2019-10-29,72.357,,
2019-10-30,73.0,,
2019-10-31,73.857,,
2019-11-01,74.714,,
2019-11-04,75.429,,
2019-11-05,75.786,,
2019-11-06,75.714,,
2019-11-07,75.571,,
2019-11-08,76.143,,
2019-11-11,76.714,,
2019-11-12,76.929,,
2019-11-13,77.286,,
2019-11-14,78.679,,
2019-11-15,78.929,,
2019-11-18,78.357,,
2019-11-19,77.214,,
2019-11-20,76.571,,
2019-11-21,76.071,,
2019-11-22,75.571,,
2019-11-25,74.643,,
2019-11-26,73.214,,
2019-11-27,71.429,,
2019-11-28,71.0,,
2019-11-29,70.786,,
2019-12-02,69.5,,
2019-12-03,68.857,,
2019-12-04,68.5,,
2019-12-05,68.0,,
2019-12-06,67.714,,
2019-12-09,67.643,,
2019-12-10,67.214,,
2019-12-11,67.286,,
2019-12-12,68.643,,
2019-12-13,70.214,,
2019-12-16,70.286,,
2019-12-17,69.857,,
2019-12-18,68.571,,
2019-12-19,68.143,,
2019-12-20,67.286,,
2019-12-23,66.357,,
2019-12-24,66.0,,
2020-01-02,65.714,,
2020-01-03,65.5,,
2020-01-06,65.286,,
2020-01-07,64.929,,
2020-01-08,65.286,,
2020-01-09,65.714,,
2020-01-10,66.071,,
2020-01-13,66.0,,
2020-01-14,67.929,,
2020-01-15,70.143,,
2020-01-16,71.5,,
2020-01-17,73.714,,
2020-01-20,77.429,,
2020-01-21,80.571,,
2020-01-22,81.071,,
2020-01-23,80.571,,
2020-01-24,80.0,,
2020-01-27,79.714,,
2020-01-28,79.357,,
2020-01-29,78.714,,
2020-01-30,77.786,,
2020-01-31,77.357,,
2020-02-03,76.0,,
2020-02-04,75.5,,
2020-02-05,75.071,,
2020-02-06,74.571,,
2020-02-07,74.571,,
2020-02-10,73.929,,
2020-02-11,73.357,,
2020-02-12,72.5,,
2020-02-13,70.429,,
2020-02-14,69.179,,
2020-02-17,68.429,,
2020-02-18,67.714,,
2020-02-19,66.857,,
2020-02-20,66.214,,
2020-02-21,66.0,,
2020-02-24,65.786,,
2020-02-25,65.357,,
2020-02-26,64.857,,
2020-02-27,64.286,,
2020-02-28,63.714,,
2020-03-02,62.429,,
2020-03-03,61.714,,
2020-03-04,59.929,,
2020-03-05,59.214,,
2020-03-06,58.714,,
2020-03-09,57.286,,
2020-03-10,55.898,,
2020-03-11,53.857,,
2020-03-12,55.286,,
2020-03-13,57.714,,
2020-03-16,58.143,,
2020-03-17,59.286,,
2020-03-18,59.143,,
2020-03-19,59.0,,
2020-03-20,58.5,,
2020-03-23,58.786,,
2020-03-24,58.714,,
2020-03-25,57.429,,
2020-03-26,56.429,,
2020-03-27,56.0,,
2020-03-30,54.714,,
2020-03-31,53.5,,
2020-04-01,52.071,45.0,
2020-04-02,50.714,45.0,
2020-04-03,50.5,45.0,
2020-04-06,49.714,45.0,
2020-04-07,48.857,45.0,
2020-04-08,47.5,45.0,
2020-04-09,46.917,44.5,
2020-04-14,52.857,45.0,
2020-04-15,54.571,45.5,
2020-04-16,56.714,47.5,
2020-04-17,58.571,49.0,
2020-04-20,59.679,51.0,
2020-04-21,61.571,52.0,
2020-04-22,61.571,52.5,
2020-04-23,61.071,51.5,
2020-04-24,60.5,51.0,
2020-04-27,59.643,50.5,
2020-04-28,59.0,50.5,
2020-04-29,58.714,50.0,
2020-04-30,57.357,49.25,
2020-05-01,57.083,48.5,
2020-05-04,56.143,47.5,
2020-05-05,55.857,47.5,
2020-05-06,55.429,46.75,
2020-05-07,54.429,46.0,
2020-05-11,52.357,46.0,
2020-05-12,50.286,45.5,
2020-05-13,48.5,44.5,
2020-05-14,44.214,43.25,
2020-05-15,41.071,42.5,
2020-05-18,36.857,41.0,
2020-05-19,34.071,39.5,
2020-05-20,34.714,38.0,
2020-05-21,34.571,36.5,
2020-05-22,34.286,34.75,
2020-05-26,33.5,33.0,
2020-05-27,33.143,33.0,
2020-05-28,32.036,32.5,
2020-05-29,31.429,32.5,
2020-06-01,31.286,32.25,
2020-06-02,30.714,31.0,
2020-06-03,29.714,30.5,
2020-06-04,29.286,30.0,
2020-06-05,29.071,29.25,
2020-06-08,28.786,29.0,
2020-06-09,28.357,28.5,
2020-06-10,28.143,28.5,
2020-06-11,27.786,28.0,
2020-06-12,27.429,27.5,
2020-06-15,26.75,26.5,
2020-06-16,26.5,24.75,
2020-06-17,26.286,24.0,
2020-06-18,25.714,23.5,
2020-06-19,24.857,23.25,
2020-06-22,23.857,23.0,
2020-06-23,23.929,23.0,
2020-06-24,24.143,22.5,
2020-06-25,25.071,24.5,
2020-06-26,27.214,28.25,
2020-06-29,28.357,30.0,
2020-06-30,29.214,30.75,
2020-07-01,29.643,30.75,
2020-07-02,29.714,31.0,
2020-07-03,29.786,30.0,
2020-07-06,29.786,29.5,
2020-07-07,29.571,29.5,
2020-07-08,29.571,29.5,
2020-07-09,31.071,30.0,
2020-07-10,31.357,30.5,
2020-07-13,31.571,31.5,
2020-07-14,33.786,32.0,
2020-07-15,34.857,33.0,
2020-07-16,35.5,33.0,
2020-07-17,37.286,34.0,
2020-07-20,38.571,34.5,
2020-07-21,40.643,34.5,
2020-07-22,44.857,39.0,
2020-07-23,47.714,42.0,
2020-07-24,49.5,42.5,
2020-07-27,54.571,42.5,
2020-07-28,60.214,46.0,
2020-07-29,63.857,47.5,
2020-07-30,64.571,48.5,
2020-07-31,64.51,49.25,
2020-08-03,63.929,49.75,
2020-08-04,63.857,49.75,
2020-08-05,63.643,49.25,
2020-08-06,63.643,49.0,
2020-08-07,63.5,48.75,
2020-08-10,63.429,48.25,
2020-08-11,63.714,48.25,
2020-08-12,62.214,48.25,
2020-08-13,61.214,48.0,
2020-08-14,60.929,48.0,
2020-08-17,60.0,48.0,
2020-08-18,59.643,48.0,
2020-08-19,58.786,48.0,
2020-08-20,58.5,48.0,
2020-08-21,58.357,46.5,
2020-08-24,57.786,46.5,
2020-08-25,56.929,46.5,
2020-08-26,56.429,48.5,
2020-08-27,56.143,48.5,
2020-08-28,56.0,48.0,
2020-09-01,54.786,47.5,
2020-09-02,54.571,47.5,
2020-09-03,53.643,48.0,
2020-09-04,54.214,48.5,
2020-09-07,54.429,49.0,
2020-09-08,54.786,49.0,
2020-09-09,55.214,49.5,
2020-09-10,56.286,49.75,
2020-09-11,56.821,49.375,
2020-09-14,56.821,49.0,
2020-09-15,56.536,48.75,
2020-09-16,54.857,48.0,
2020-09-17,54.714,47.0,
2020-09-18,54.286,46.5,
2020-09-21,53.357,46.0,
2020-09-22,52.643,45.5,
2020-09-23,53.1,46.5,
2020-09-24,53.571,47.5,
2020-09-25,54.143,49.0,
2020-09-28,54.214,49.0,
2020-09-29,54.143,49.0,
2020-09-30,54.929,49.0,
2020-10-01,55.429,48.5,
2020-10-02,55.429,48.5,
2020-10-05,55.714,47.5,
2020-10-06,55.75,47.5,
2020-10-07,55.536,47.5,
2020-10-08,55.429,47.5,
2020-10-09,56.571,47.5,
2020-10-12,59.143,48.0,
2020-10-13,61.857,50.5,
2020-10-14,62.786,51.0,
2020-10-15,63.214,51.0,
2020-10-16,63.214,51.0,
2020-10-19,63.214,52.0,
2020-10-20,62.857,52.0,
2020-10-21,62.5,52.75,
2020-10-22,62.429,53.5,
2020-10-23,62.714,54.0,
2020-10-26,63.643,54.0,
2020-10-27,64.5,54.5,
2020-10-28,64.214,54.5,
2020-10-29,63.857,54.5,
2020-10-30,63.643,54.5,
2020-11-02,63.5,54.5,
2020-11-03,63.286,54.5,
2020-11-04,61.571,54.5,
2020-11-05,60.929,54.5,
2020-11-06,61.071,54.5,
2020-11-09,62.714,54.5,
2020-11-10,62.929,54.5,
2020-11-11,63.143,54.5,
2020-11-12,63.893,54.0,
2020-11-13,63.786,54.5,
2020-11-16,63.357,54.5,
2020-11-17,63.286,55.0,
2020-11-18,63.75,57.0,
2020-11-19,64.214,58.5,
2020-11-20,65.357,62.0,
2020-11-23,67.393,63.0,
2020-11-24,69.429,64.0,
2020-11-25,73.571,68.5,
2020-11-26,88.0,69.0,
2020-11-27,90.143,70.0,
2020-11-30,90.571,70.0,
2020-12-01,90.929,70.0,
2020-12-02,91.357,72.5,
2020-12-03,93.571,72.5,
2020-12-04,94.429,73.5,
2020-12-07,98.857,75.5,
2020-12-08,103.571,76.5,
2020-12-09,107.429,87.5,
2020-12-10,109.143,91.5,
2020-12-11,110.571,92.5,
2020-12-14,109.714,92.5,
2020-12-15,107.786,92.5,
2020-12-16,106.929,92.5,
2020-12-17,105.857,91.5,
2020-12-18,105.286,92.0,
2020-12-21,106.143,92.0,
2020-12-22,107.286,92.5,
2020-12-23,107.571,92.5,
2020-12-24,107.643,92.5,
2021-01-04,109.071,92.0,
2021-01-05,110.5,92.0,
2021-01-06,113.214,92.0,
2021-01-07,116.357,93.0,
2021-01-08,118.714,95.0,
2021-01-11,119.429,98.333,
2021-01-12,116.714,96.0,174.167
2021-01-13,114.286,93.333,168.333
2021-01-14,108.714,89.333,160.667
2021-01-15,102.857,83.333,153.833
2021-01-18,96.0,80.667,146.667
2021-01-19,89.714,76.667,138.0
2021-01-20,82.429,74.333,129.5
2021-01-21,76.429,71.0,121.833
2021-01-22,69.286,64.0,113.333
2021-01-25,65.286,60.0,105.833
2021-01-26,62.571,58.667,101.167
2021-01-27,60.143,58.0,98.333
2021-01-28,58.714,56.667,97.167
2021-01-29,56.0,53.0,93.167
2021-02-01,50.5,49.0,86.333
2021-02-02,47.429,46.667,82.833
2021-02-03,45.0,45.0,78.667
2021-02-04,43.286,44.0,81.333
2021-02-05,42.571,45.0,84.5
2021-02-08,41.857,45.667,84.5
2021-02-09,41.357,44.0,82.5
2021-02-10,39.714,43.0,80.667
2021-02-11,38.429,42.667,77.917
2021-02-12,38.143,41.0,76.167
2021-02-15,37.286,40.0,74.667
2021-02-16,36.357,39.333,73.0
2021-02-17,35.429,37.333,70.75
2021-02-18,34.857,36.0,67.5
2021-02-19,33.571,35.333,65.833
2021-02-22,32.643,34.333,64.0
2021-02-23,32.143,33.5,63.167
2021-02-24,30.714,33.333,62.583
2021-02-25,29.929,32.667,61.583
2021-02-26,29.429,32.333,61.0
2021-03-01,28.929,32.0,60.417
2021-03-02,28.643,29.333,59.0
2021-03-03,28.143,29.0,57.667
2021-03-04,28.0,28.833,57.083
2021-03-05,27.857,28.667,57.083
2021-03-08,28.5,28.667,57.667
2021-03-09,29.429,28.667,58.5
2021-03-10,31.071,29.333,60.5
2021-03-11,32.643,30.667,62.0
2021-03-12,33.214,31.667,62.167
2021-03-15,34.214,32.0,63.333
2021-03-16,35.0,32.0,63.583
2021-03-17,36.643,32.333,64.083
2021-03-18,37.571,32.333,64.083
2021-03-19,38.071,32.333,64.083
2021-03-22,37.786,32.667,63.786
2021-03-23,37.714,32.667,63.643
2021-03-24,38.143,32.333,64.071
2021-03-25,39.214,33.0,65.571
2021-03-26,41.357,39.167,71.0
2021-03-29,43.0,41.667,75.071
2021-03-30,46.5,44.0,81.429
2021-03-31,49.643,44.333,82.857
2021-04-01,51.214,46.0,83.286
2021-04-06,51.786,46.0,82.429
2021-04-07,52.286,44.333,81.286
2021-04-08,52.286,43.667,81.143
2021-04-09,52.357,43.667,81.286
2021-04-12,52.214,43.667,81.714
2021-04-13,52.143,43.667,82.357
2021-04-14,51.714,43.667,83.214
2021-04-15,51.286,47.667,86.714
2021-04-16,51.286,48.0,88.0
2021-04-19,50.571,48.0,87.714
2021-04-20,49.429,47.667,87.714
2021-04-21,48.143,47.333,88.0
2021-04-22,48.214,47.667,88.714
2021-04-23,48.571,48.0,88.857
2021-04-26,50.286,48.0,88.857
2021-04-27,52.714,48.333,88.714
2021-04-28,53.286,48.0,88.5
2021-04-29,53.571,47.333,87.857
2021-04-30,54.071,46.333,86.857
2021-05-04,54.071,45.833,86.214
2021-05-05,54.5,46.333,86.571
2021-05-06,56.357,47.333,88.571
2021-05-07,59.929,48.0,89.429
2021-05-10,62.0,49.333,91.571
2021-05-11,64.0,50.333,93.429
2021-05-12,64.286,50.667,94.0
2021-05-13,64.286,50.0,93.857
2021-05-14,64.571,50.667,94.0
2021-05-17,64.333,51.0,94.0
2021-05-18,63.714,51.0,93.714
2021-05-19,63.357,50.667,93.857
2021-05-20,60.786,50.333,93.0
2021-05-21,59.714,49.667,91.214
2021-05-24,58.929,49.0,90.071
2021-05-25,57.929,48.5,89.286
2021-05-26,57.286,48.333,89.0
2021-05-27,56.714,49.0,89.857
2021-05-28,56.286,48.667,89.571
2021-06-01,54.929,48.333,89.571
2021-06-02,54.214,48.0,88.857
2021-06-03,53.286,48.667,88.286
2021-06-04,52.0,48.667,87.929
2021-06-07,50.714,48.0,87.0
2021-06-08,48.857,47.0,85.786
2021-06-09,47.429,46.667,84.429
2021-06-10,46.071,44.333,81.5
2021-06-11,44.429,43.667,81.357
2021-06-14,43.643,43.333,81.0
2021-06-15,42.571,43.333,81.5
2021-06-16,42.929,44.333,83.786
2021-06-17,44.571,45.667,84.714
2021-06-18,46.0,45.667,85.286
2021-06-21,46.786,46.0,85.786
2021-06-22,47.0,46.0,86.071
2021-06-23,47.5,46.667,86.929
2021-06-24,48.071,46.333,87.071
2021-06-25,48.214,46.667,86.714
2021-06-28,48.143,46.667,85.857
2021-06-29,46.571,46.333,84.0
2021-06-30,45.786,46.0,81.857
2021-07-01,43.857,41.0,77.714
2021-07-02,43.0,39.333,74.286
2021-07-05,41.5,38.0,72.286
2021-07-06,39.571,38.667,71.857
2021-07-07,38.0,39.0,72.714
2021-07-08,36.571,40.333,75.071
2021-07-09,34.643,40.667,76.5
2021-07-12,33.571,40.667,76.071
2021-07-13,33.286,40.667,76.0
2021-07-14,34.929,40.667,76.857
2021-07-15,37.429,41.333,77.429
2021-07-16,39.571,41.5,77.643
2021-07-19,39.571,41.5,77.286
2021-07-20,40.357,41.5,77.0
2021-07-21,42.0,41.5,76.714
2021-07-22,43.286,41.5,76.714
2021-07-23,44.714,41.5,77.357
2021-07-26,45.071,41.5,78.071
2021-07-27,45.214,42.167,79.357
2021-07-28,45.286,42.5,81.429
2021-07-29,44.643,42.5,82.571
2021-07-30,,42.667,
2021-07-31,43.357,,83.0
2021-08-02,42.929,42.667,83.143
2021-08-03,42.571,43.0,83.929
2021-08-04,42.571,43.333,84.286
2021-08-05,43.357,43.333,84.714
2021-08-06,44.286,44.667,84.857
2021-08-09,44.857,45.333,85.143
2021-08-10,45.429,45.667,85.571
2021-08-11,47.143,46.667,86.643
2021-08-12,47.143,46.667,86.857
2021-08-13,47.0,46.333,86.571
2021-08-16,46.321,46.333,86.286
2021-08-17,45.75,46.0,86.214
2021-08-18,45.286,45.333,84.857
2021-08-19,44.786,44.667,84.5
2021-08-20,44.571,44.167,84.143
2021-08-23,45.286,44.167,84.143
2021-08-24,46.0,44.0,83.929
2021-08-25,46.0,43.667,83.571
2021-08-26,45.857,43.667,83.571
2021-08-27,45.857,43.667,83.429
2021-08-31,45.214,43.667,83.643
2021-09-01,44.071,43.667,83.5
2021-09-02,43.429,43.0,81.857
2021-09-03,42.786,42.667,81.357
2021-09-06,42.214,42.667,81.071
2021-09-07,41.786,42.167,80.214
2021-09-08,40.786,41.333,79.286
2021-09-09,40.071,40.667,77.857
2021-09-10,39.286,40.0,76.5
2021-09-13,37.929,39.333,75.286
2021-09-14,37.071,38.667,75.214
2021-09-15,37.357,39.667,79.143
2021-09-16,38.214,40.333,81.0
2021-09-17,39.214,41.667,84.143
2021-09-20,40.143,42.0,84.143
2021-09-21,40.071,42.667,84.0
2021-09-22,40.571,43.333,84.425
2021-09-23,40.51,43.333,83.429
2021-09-24,40.439,43.0,83.0
2021-09-27,41.367,42.667,82.571
2021-09-28,44.429,41.833,81.929
2021-09-29,45.061,41.667,81.0
2021-09-30,45.571,41.333,81.214
2021-10-01,45.714,41.333,82.857
2021-10-04,45.857,41.333,83.714
2021-10-05,45.643,43.0,85.714
2021-10-06,45.643,44.0,86.0
2021-10-07,45.929,43.667,85.786
2021-10-08,46.786,43.667,86.0
2021-10-11,48.143,43.667,85.857
2021-10-12,48.429,43.667,84.929
2021-10-13,48.821,43.333,84.357
2021-10-14,49.143,44.0,84.357
2021-10-15,50.0,44.333,84.357
2021-10-18,50.929,44.0,84.429
2021-10-19,51.5,44.333,85.071
2021-10-20,51.214,45.0,86.357
2021-10-21,49.857,46.667,88.571
2021-10-22,49.286,46.0,88.786
2021-10-25,48.357,45.333,88.143
2021-10-26,47.357,46.333,88.714
2021-10-27,47.643,47.333,92.929
2021-10-28,52.643,48.667,93.929
2021-10-29,54.0,49.667,95.286
2021-11-01,55.143,50.0,95.857
2021-11-02,56.214,50.0,96.214
2021-11-03,56.714,50.333,96.714
2021-11-04,57.143,50.333,97.214
2021-11-05,57.286,50.667,98.0
2021-11-08,57.857,51.333,99.5
2021-11-09,58.429,53.333,101.857
2021-11-10,59.286,54.667,104.286
2021-11-11,61.429,56.0,108.286
2021-11-12,62.286,56.0,109.714
2021-11-15,62.5,56.333,109.786
2021-11-16,62.643,57.0,109.929
2021-11-17,62.429,57.333,111.071
2021-11-18,62.929,57.667,112.286
2021-11-19,63.714,60.0,116.714
2021-11-22,64.571,61.333,117.714
2021-11-23,65.571,61.667,118.286
2021-11-24,66.082,61.667,118.0
2021-11-25,66.786,61.667,117.571
2021-11-26,66.857,61.5,115.929
2021-11-29,67.143,60.5,115.286
2021-11-30,67.0,60.0,114.5
2021-12-01,64.286,57.333,113.286
2021-12-02,61.429,56.333,111.429
2021-12-03,59.929,56.0,110.857
2021-12-06,59.714,56.333,110.429
2021-12-07,59.786,56.333,110.143
2021-12-08,60.929,56.333,110.714
2021-12-09,65.286,56.667,112.0
2021-12-10,69.0,58.0,113.857
2021-12-13,70.286,59.333,116.143
2021-12-14,71.429,60.0,116.714
2021-12-15,71.714,60.0,116.571
2021-12-16,72.714,60.333,116.286
2021-12-17,74.214,60.333,116.286
2021-12-20,74.714,61.667,117.0
2021-12-21,75.0,62.0,118.0
2021-12-22,74.286,62.667,118.286
2021-12-23,73.643,63.0,118.5
2021-12-24,73.107,63.0,118.5
2022-01-04,70.286,63.0,118.286
2022-01-05,70.071,63.333,118.571
2022-01-06,70.214,63.333,118.429
2022-01-07,70.643,63.5,119.071
2022-01-10,71.071,63.833,119.429
2022-01-11,71.5,64.667,119.571
2022-01-12,71.643,65.0,120.0
2022-01-13,73.0,65.0,119.286
2022-01-14,73.214,65.0,118.571
2022-01-17,72.714,64.333,117.571
2022-01-18,70.286,64.0,116.143
2022-01-19,67.571,61.0,112.857
2022-01-20,63.929,59.0,108.571
2022-01-21,61.857,57.667,106.286
2022-01-24,60.571,56.667,104.714
2022-01-25,58.786,56.667,104.429
2022-01-26,57.286,56.0,102.821
2022-01-27,56.857,55.333,102.143
2022-01-28,56.0,55.0,101.857
2022-01-31,54.0,54.333,101.286
2022-02-01,51.0,53.0,100.0
2022-02-02,50.429,52.667,99.143
2022-02-03,48.429,50.333,96.071
2022-02-04,46.286,49.667,93.714
2022-02-07,45.786,49.333,92.929
2022-02-08,45.714,48.75,93.0
2022-02-09,46.429,50.25,94.286
2022-02-10,46.643,50.75,94.786
2022-02-11,46.786,50.75,94.643
2022-02-14,46.5,50.5,94.429
2022-02-15,46.071,50.0,93.571
2022-02-16,45.857,49.75,92.714
2022-02-17,45.357,49.0,91.286
2022-02-18,45.0,48.5,90.143
2022-02-21,45.0,47.75,88.286
2022-02-22,44.393,46.5,86.571
2022-02-23,44.036,44.0,83.857
2022-02-24,43.929,41.25,80.143
2022-02-25,43.714,40.0,79.286
2022-02-28,43.143,39.25,78.143
2022-03-01,42.643,39.0,77.571
2022-03-02,43.071,38.5,77.714
2022-03-03,44.571,40.25,79.714
2022-03-04,48.429,42.5,81.714
2022-03-07,52.0,43.25,84.071
2022-03-08,59.0,47.0,91.571
2022-03-09,64.571,50.0,99.143
2022-03-10,65.143,57.75,104.786
2022-03-11,65.286,57.5,105.714
2022-03-14,65.143,57.0,105.143
2022-03-15,64.429,55.5,103.714
2022-03-16,63.214,53.75,102.571
2022-03-17,62.429,52.75,101.857
2022-03-18,61.929,51.75,101.0
2022-03-21,60.143,49.625,99.071
2022-03-22,58.714,48.625,98.429
2022-03-23,58.714,51.75,101.286
2022-03-24,60.0,53.5,103.286
2022-03-25,60.714,54.25,104.714
2022-03-28,62.429,56.0,108.429
2022-03-29,63.571,58.25,110.429
2022-03-30,64.286,59.25,110.571
2022-03-31,65.143,59.5,110.143
2022-04-01,65.071,60.0,110.429
2022-04-04,65.0,60.0,110.286
2022-04-05,64.857,59.75,109.714
2022-04-06,64.714,59.125,110.071
2022-04-07,64.857,61.75,113.0
2022-04-08,65.214,62.5,115.071
2022-04-11,65.857,63.75,115.857
2022-04-12,66.786,65.25,117.143
2022-04-13,69.0,67.25,120.0
2022-04-14,69.714,68.75,122.714
2022-04-19,70.143,70.5,123.0
2022-04-20,70.714,71.75,123.643
2022-04-21,70.857,72.5,124.714
2022-04-22,70.857,72.375,124.857
2022-04-25,70.857,72.375,125.286
2022-04-26,70.071,72.5,125.571
2022-04-27,69.143,71.625,124.857
2022-04-28,68.643,71.25,124.714
2022-04-29,68.214,70.5,124.0
2022-05-03,67.857,69.5,123.0
2022-05-04,67.071,69.6,122.857
2022-05-05,66.0,70.9,123.286
2022-05-06,65.714,71.4,124.571
2022-05-09,67.429,72.1,125.857
2022-05-10,68.857,72.2,126.0
2022-05-11,70.429,72.3,126.286
2022-05-12,72.429,73.0,127.429
2022-05-13,74.143,73.0,128.0
2022-05-16,74.5,73.6,128.714
2022-05-17,76.0,74.4,129.857
2022-05-18,78.143,75.1,130.429
2022-05-19,82.571,75.9,132.286
2022-05-20,85.286,76.6,132.857
2022-05-23,86.286,77.4,135.143
2022-05-24,88.571,77.5,135.286
2022-05-25,94.857,77.8,135.857
2022-05-26,100.0,78.3,136.429
2022-05-27,103.571,78.96,138.929
2022-05-30,105.143,79.46,139.857
2022-05-31,104.571,78.6,138.714
2022-06-01,95.286,77.8,136.571
2022-06-06,92.0,75.3,133.286
2022-06-07,90.143,74.2,130.714
2022-06-08,89.0,73.0,129.143
2022-06-09,87.714,71.5,125.714
2022-06-10,84.286,69.8,121.286
2022-06-13,81.286,67.4,116.143
2022-06-14,77.857,65.6,110.857
2022-06-15,74.857,61.4,103.714
2022-06-16,71.429,61.4,103.143
