Date,Index,% Change
2008-10-06,"2,276",
2008-10-07,"2,127",-6.55%
2008-10-08,"1,987",-6.58%
2008-10-09,"1,844",-7.20%
2008-10-10,"1,641",-11.01%
2008-10-13,"1,463",-10.85%
2008-10-14,"1,355",-7.38%
2008-10-15,"1,294",-4.50%
2008-10-16,"1,254",-3.09%
2008-10-17,"1,206",-3.83%
2008-10-20,"1,144",-5.14%
2008-10-21,"1,079",-5.68%
2008-10-22,975,-9.64%
2008-10-23,881,-9.64%
2008-10-24,817,-7.26%
2008-10-27,768,-6.00%
2008-10-28,701,-8.72%
2008-10-29,655,-6.56%
2008-10-30,617,-5.80%
2008-10-31,583,-5.51%
2008-11-03,559,-4.12%
2008-11-04,531,-5.01%
2008-11-05,512,-3.58%
2008-11-06,521,1.76%
2008-11-07,530,1.73%
2008-11-10,531,0.19%
2008-11-11,534,0.56%
2008-11-12,536,0.37%
2008-11-13,543,1.31%
2008-11-14,556,2.39%
2008-11-17,571,2.70%
2008-11-18,589,3.15%
2008-11-19,606,2.89%
2008-11-20,623,2.81%
2008-11-21,634,1.77%
2008-11-24,640,0.95%
2008-11-25,641,0.16%
2008-11-26,637,-0.62%
2008-11-27,632,-0.78%
2008-11-28,622,-1.58%
2008-12-01,610,-1.93%
2008-12-02,597,-2.13%
2008-12-03,579,-3.02%
2008-12-04,564,-2.59%
2008-12-05,548,-2.84%
2008-12-08,533,-2.74%
2008-12-09,523,-1.88%
2008-12-10,511,-2.29%
2008-12-11,498,-2.54%
2008-12-12,490,-1.61%
2008-12-15,486,-0.82%
2008-12-16,481,-1.03%
2008-12-17,476,-1.04%
2008-12-18,464,-2.52%
2008-12-19,454,-2.16%
2008-12-22,442,-2.64%
2008-12-23,430,-2.71%
2008-12-24,421,-2.09%
2009-01-02,411,-2.38%
2009-01-05,403,-1.95%
2009-01-06,395,-1.99%
2009-01-07,390,-1.27%
2009-01-08,389,-0.26%
2009-01-09,394,1.29%
2009-01-12,397,0.76%
2009-01-13,402,1.26%
2009-01-14,409,1.74%
2009-01-15,413,0.98%
2009-01-16,418,1.21%
2009-01-19,424,1.44%
2009-01-20,427,0.71%
2009-01-21,432,1.17%
2009-01-22,436,0.93%
2009-01-23,443,1.61%
2009-01-26,446,0.68%
2009-01-27,460,3.14%
2009-01-28,473,2.83%
2009-01-29,488,3.17%
2009-01-30,512,4.92%
2009-02-02,533,4.10%
2009-02-03,556,4.32%
2009-02-04,681,22.48%
2009-02-05,783,14.98%
2009-02-06,854,9.07%
2009-02-09,948,11.01%
2009-02-10,"1,025",8.12%
2009-02-11,"1,089",6.24%
2009-02-12,"1,148",5.42%
2009-02-13,"1,190",3.66%
2009-02-16,"1,209",1.60%
2009-02-17,"1,213",0.33%
2009-02-18,"1,231",1.48%
2009-02-19,"1,271",3.25%
2009-02-20,"1,300",2.28%
2009-02-23,"1,325",1.92%
2009-02-24,"1,347",1.66%
2009-02-25,"1,385",2.82%
2009-02-26,"1,474",6.43%
2009-02-27,"1,529",3.73%
2009-03-02,"1,569",2.62%
2009-03-03,"1,585",1.02%
2009-03-04,"1,603",1.14%
2009-03-05,"1,653",3.12%
2009-03-06,"1,688",2.12%
2009-03-09,"1,713",1.48%
2009-03-10,"1,728",0.88%
2009-03-11,"1,735",0.41%
2009-03-12,"1,727",-0.46%
2009-03-13,"1,710",-0.98%
2009-03-16,"1,694",-0.94%
2009-03-17,"1,673",-1.24%
2009-03-18,"1,632",-2.45%
2009-03-19,"1,583",-3.00%
2009-03-20,"1,541",-2.65%
2009-03-23,"1,493",-3.11%
2009-03-24,"1,437",-3.75%
2009-03-25,"1,398",-2.71%
2009-03-26,"1,365",-2.36%
2009-03-27,"1,338",-1.98%
2009-03-30,"1,313",-1.87%
2009-03-31,"1,288",-1.90%
2009-04-01,"1,268",-1.55%
2009-04-02,"1,250",-1.42%
2009-04-03,"1,236",-1.12%
2009-04-06,"1,220",-1.29%
2009-04-07,"1,183",-3.03%
2009-04-08,"1,159",-2.03%
2009-04-09,"1,153",-0.52%
2009-04-14,"1,158",0.43%
2009-04-15,"1,165",0.60%
2009-04-16,"1,203",3.26%
2009-04-17,"1,241",3.16%
2009-04-20,"1,279",3.06%
2009-04-21,"1,308",2.27%
2009-04-22,"1,350",3.21%
2009-04-23,"1,396",3.41%
2009-04-24,"1,435",2.79%
2009-04-27,"1,453",1.25%
2009-04-28,"1,447",-0.41%
2009-04-29,"1,438",-0.62%
2009-04-30,"1,427",-0.76%
2009-05-01,"1,430",0.21%
2009-05-05,"1,430",0.00%
2009-05-06,"1,448",1.26%
2009-05-07,"1,497",3.38%
2009-05-08,"1,569",4.81%
2009-05-11,"1,611",2.68%
2009-05-12,"1,639",1.74%
2009-05-13,"1,675",2.20%
2009-05-14,"1,711",2.15%
2009-05-15,"1,754",2.51%
2009-05-18,"1,786",1.82%
2009-05-19,"1,834",2.69%
2009-05-20,"1,853",1.04%
2009-05-21,"1,854",0.05%
2009-05-22,"1,837",-0.92%
2009-05-26,"1,830",-0.38%
2009-05-27,"1,825",-0.27%
2009-05-28,"1,832",0.38%
2009-05-29,"1,831",-0.05%
2009-06-01,"1,835",0.22%
2009-06-02,"1,843",0.44%
2009-06-03,"1,862",1.03%
2009-06-04,"1,856",-0.32%
2009-06-05,"1,832",-1.29%
2009-06-08,"1,804",-1.53%
2009-06-09,"1,781",-1.27%
2009-06-10,"1,758",-1.29%
2009-06-11,"1,738",-1.14%
2009-06-12,"1,722",-0.92%
2009-06-15,"1,702",-1.16%
2009-06-16,"1,699",-0.18%
2009-06-17,"1,714",0.88%
2009-06-18,"1,735",1.23%
2009-06-19,"1,749",0.81%
2009-06-22,"1,758",0.51%
2009-06-23,"1,757",-0.06%
2009-06-24,"1,754",-0.17%
2009-06-25,"1,750",-0.23%
2009-06-26,"1,734",-0.91%
2009-06-29,"1,715",-1.10%
2009-06-30,"1,701",-0.82%
2009-07-01,"1,703",0.12%
2009-07-02,"1,709",0.35%
2009-07-03,"1,718",0.53%
2009-07-06,"1,716",-0.12%
2009-07-07,"1,724",0.47%
2009-07-08,"1,749",1.45%
2009-07-09,"1,782",1.89%
2009-07-10,"1,817",1.96%
2009-07-13,"1,834",0.94%
2009-07-14,"1,892",3.16%
2009-07-15,"1,953",3.22%
2009-07-16,"2,016",3.23%
2009-07-17,"2,051",1.74%
2009-07-20,"2,062",0.54%
2009-07-21,"2,080",0.87%
2009-07-22,"2,086",0.29%
2009-07-23,"2,095",0.43%
2009-07-24,"2,091",-0.19%
2009-07-27,"2,090",-0.05%
2009-07-28,"2,092",0.10%
2009-07-29,"2,091",-0.05%
2009-07-30,"2,089",-0.10%
2009-07-31,"2,081",-0.38%
2009-08-03,"2,060",-1.01%
2009-08-04,"2,033",-1.31%
2009-08-05,"1,996",-1.82%
2009-08-06,"1,918",-3.91%
2009-08-07,"1,840",-4.07%
2009-08-10,"1,785",-2.99%
2009-08-11,"1,736",-2.75%
2009-08-12,"1,700",-2.07%
2009-08-13,"1,693",-0.41%
2009-08-14,"1,709",0.95%
2009-08-17,"1,723",0.82%
2009-08-18,"1,733",0.58%
2009-08-19,"1,731",-0.12%
2009-08-20,"1,731",0.00%
2009-08-21,"1,733",0.12%
2009-08-24,"1,748",0.87%
2009-08-25,"1,753",0.29%
2009-08-26,"1,749",-0.23%
2009-08-27,"1,752",0.17%
2009-08-28,"1,740",-0.68%
2009-09-01,"1,732",-0.46%
2009-09-02,"1,723",-0.52%
2009-09-03,"1,723",0.00%
2009-09-04,"1,742",1.10%
2009-09-07,"1,793",2.93%
2009-09-08,"1,831",2.12%
2009-09-09,"1,865",1.86%
2009-09-11,"1,917",2.79%
2009-09-14,"1,933",0.83%
2009-09-15,"1,974",2.12%
2009-09-16,"2,015",2.08%
2009-09-17,"2,048",1.64%
2009-09-18,"2,063",0.73%
2009-09-21,"2,069",0.29%
2009-09-22,"2,071",0.10%
2009-09-23,"2,071",0.00%
2009-09-24,"2,068",-0.14%
2009-09-25,"2,058",-0.48%
2009-09-28,"2,031",-1.31%
2009-09-29,"2,000",-1.53%
2009-09-30,"1,966",-1.70%
2009-10-01,"1,911",-2.80%
2009-10-02,"1,868",-2.25%
2009-10-05,"1,837",-1.66%
2009-10-06,"1,820",-0.93%
2009-10-07,"1,799",-1.15%
2009-10-08,"1,799",0.00%
2009-10-09,"1,800",0.06%
2009-10-12,"1,804",0.22%
2009-10-13,"1,820",0.89%
2009-10-14,"1,869",2.69%
2009-10-15,"1,890",1.12%
2009-10-16,"1,903",0.69%
2009-10-19,"1,900",-0.16%
2009-10-20,"1,890",-0.53%
2009-10-21,"1,875",-0.79%
2009-10-22,"1,862",-0.69%
2009-10-23,"1,852",-0.54%
2009-10-26,"1,850",-0.11%
2009-10-27,"1,842",-0.43%
2009-10-28,"1,833",-0.49%
2009-10-29,"1,825",-0.44%
2009-10-30,"1,820",-0.27%
2009-11-02,"1,813",-0.38%
2009-11-03,"1,813",0.00%
2009-11-04,"1,833",1.10%
2009-11-05,"1,855",1.20%
2009-11-06,"1,888",1.78%
2009-11-09,"1,917",1.54%
2009-11-10,"1,958",2.14%
2009-11-11,"2,021",3.22%
2009-11-12,"2,085",3.17%
2009-11-13,"2,147",2.97%
2009-11-16,"2,257",5.12%
2009-11-17,"2,350",4.12%
2009-11-19,"2,472",5.19%
2009-11-20,"2,487",0.61%
2009-11-24,"2,479",-0.32%
2009-11-25,"2,472",-0.28%
2009-11-27,"2,446",-1.05%
2009-11-30,"2,416",-1.23%
2009-12-01,"2,376",-1.66%
2009-12-02,"2,364",-0.51%
2009-12-03,"2,368",0.17%
2009-12-04,"2,382",0.59%
2009-12-07,"2,395",0.55%
2009-12-08,"2,414",0.79%
2009-12-09,"2,429",0.62%
