date,eua_carbon_price_eur_tco2,source_created_at,singapore_vlsfo_usd_mt,singapore_hsfo_usd_mt,singapore_hi5_spread_usd_mt,rotterdam_hi5_spread_usd_mt,houston_hi5_spread_usd_mt,capesize_scrubber_savings_usd_day,vlcc_scrubber_savings_usd_day,capesize_eu_ets_surcharge_usd_day,provenance
2010-01-05,18.08,,,,,,,,,,icap_ape_eu_ets_daily
2010-01-12,18.14,,,,,,,,,,icap_ape_eu_ets_daily
2010-01-19,19.17,,,,,,,,,,icap_ape_eu_ets_daily
2010-01-26,18.94,,,,,,,,,,icap_ape_eu_ets_daily
2010-02-02,17.05,,,,,,,,,,icap_ape_eu_ets_daily
2010-02-09,18.43,,,,,,,,,,icap_ape_eu_ets_daily
2010-02-16,17.79,,,,,,,,,,icap_ape_eu_ets_daily
2010-02-23,17.27,,,,,,,,,,icap_ape_eu_ets_daily
2010-03-02,17.75,,,,,,,,,,icap_ape_eu_ets_daily
2010-03-09,17.56,,,,,,,,,,icap_ape_eu_ets_daily
2010-03-16,17.48,,,,,,,,,,icap_ape_eu_ets_daily
2010-03-23,17.5,,,,,,,,,,icap_ape_eu_ets_daily
2010-03-30,16.95,,,,,,,,,,icap_ape_eu_ets_daily
2010-04-06,17.4,,,,,,,,,,icap_ape_eu_ets_daily
2010-04-13,17.95,,,,,,,,,,icap_ape_eu_ets_daily
2010-04-20,19.56,,,,,,,,,,icap_ape_eu_ets_daily
2010-04-27,20.51,,,,,,,,,,icap_ape_eu_ets_daily
2010-05-04,19.99,,,,,,,,,,icap_ape_eu_ets_daily
2010-05-11,18.82,,,,,,,,,,icap_ape_eu_ets_daily
2010-05-18,18.94,,,,,,,,,,icap_ape_eu_ets_daily
2010-05-25,18.5,,,,,,,,,,icap_ape_eu_ets_daily
2010-06-01,18.0,,,,,,,,,,icap_ape_eu_ets_daily
2010-06-08,18.46,,,,,,,,,,icap_ape_eu_ets_daily
2010-06-15,19.3,,,,,,,,,,icap_ape_eu_ets_daily
2010-06-22,18.9,,,,,,,,,,icap_ape_eu_ets_daily
2010-06-29,18.53,,,,,,,,,,icap_ape_eu_ets_daily
2010-07-06,19.41,,,,,,,,,,icap_ape_eu_ets_daily
2010-07-13,17.69,,,,,,,,,,icap_ape_eu_ets_daily
2010-07-20,18.26,,,,,,,,,,icap_ape_eu_ets_daily
2010-07-27,17.04,,,,,,,,,,icap_ape_eu_ets_daily
2010-08-03,18.39,,,,,,,,,,icap_ape_eu_ets_daily
2010-08-10,18.46,,,,,,,,,,icap_ape_eu_ets_daily
2010-08-17,18.44,,,,,,,,,,icap_ape_eu_ets_daily
2010-08-24,18.9,,,,,,,,,,icap_ape_eu_ets_daily
2010-08-31,19.68,,,,,,,,,,icap_ape_eu_ets_daily
2010-09-07,20.29,,,,,,,,,,icap_ape_eu_ets_daily
2010-09-14,19.65,,,,,,,,,,icap_ape_eu_ets_daily
2010-09-21,19.3,,,,,,,,,,icap_ape_eu_ets_daily
2010-09-28,19.87,,,,,,,,,,icap_ape_eu_ets_daily
2010-10-05,21.22,,,,,,,,,,icap_ape_eu_ets_daily
2010-10-12,21.69,,,,,,,,,,icap_ape_eu_ets_daily
2010-10-19,21.18,,,,,,,,,,icap_ape_eu_ets_daily
2010-10-26,20.86,,,,,,,,,,icap_ape_eu_ets_daily
2010-11-02,19.97,,,,,,,,,,icap_ape_eu_ets_daily
2010-11-09,19.33,,,,,,,,,,icap_ape_eu_ets_daily
2010-11-16,20.34,,,,,,,,,,icap_ape_eu_ets_daily
2010-11-23,20.26,,,,,,,,,,icap_ape_eu_ets_daily
2010-11-30,20.03,,,,,,,,,,icap_ape_eu_ets_daily
2011-01-04,18.66,,,,,,,,,,icap_ape_eu_ets_daily
2011-01-11,18.64,,,,,,,,,,icap_ape_eu_ets_daily
2011-01-18,19.16,,,,,,,,,,icap_ape_eu_ets_daily
2011-01-25,19.09,,,,,,,,,,icap_ape_eu_ets_daily
2011-02-08,19.41,,,,,,,,,,icap_ape_eu_ets_daily
2011-02-15,19.75,,,,,,,,,,icap_ape_eu_ets_daily
