Day,Month,Year,"VLSFO Fuel Oil, IMO 2020 Grade, 0.5%",Marine Gas Oil,"Intermdiate Fuel Oil, 180cSt","Intermdiate Fuel Oil, 380cSt"
01/29/2019,January,2019,,636.5,429.0,400.5
01/30/2019,January,2019,,640.5,436.0,407.5
01/31/2019,January,2019,,642.5,439.0,410.0
02/01/2019,February,2019,,643.5,440.0,410.0
02/04/2019,February,2019,,648.5,438.5,414.5
02/05/2019,February,2019,,649.5,444.0,417.5
02/06/2019,February,2019,,648.0,443.5,417.5
02/07/2019,February,2019,,648.0,449.5,420.5
02/08/2019,February,2019,,647.0,444.0,420.0
02/11/2019,February,2019,,647.0,448.0,419.0
02/12/2019,February,2019,,645.5,444.5,420.5
02/13/2019,February,2019,,649.0,447.5,424.0
02/14/2019,February,2019,,653.5,452.5,429.5
02/15/2019,February,2019,,660.5,455.0,431.5
02/18/2019,February,2019,,665.5,466.0,437.0
02/19/2019,February,2019,,669.0,466.0,437.0
02/20/2019,February,2019,,669.0,465.0,437.5
02/21/2019,February,2019,,666.5,467.0,439.0
02/22/2019,February,2019,,669.5,461.5,434.5
02/25/2019,February,2019,,669.5,466.0,436.0
02/26/2019,February,2019,,669.5,462.0,433.0
02/27/2019,February,2019,,672.5,463.5,435.0
02/28/2019,February,2019,,671.0,464.0,435.5
03/01/2019,March,2019,,672.5,468.5,438.5
03/04/2019,March,2019,,673.5,469.0,440.5
03/05/2019,March,2019,,673.5,470.5,441.0
03/06/2019,March,2019,,668.5,470.5,441.0
03/07/2019,March,2019,,665.5,465.5,436.0
03/11/2019,March,2019,,666.5,468.0,438.0
03/12/2019,March,2019,,671.0,470.0,440.5
03/13/2019,March,2019,,671.0,470.5,441.5
03/14/2019,March,2019,,670.5,473.0,443.5
03/15/2019,March,2019,,672.0,471.5,442.5
03/18/2019,March,2019,,669.5,470.0,441.5
03/19/2019,March,2019,,668.5,470.5,440.5
03/20/2019,March,2019,,670.0,468.5,440.0
03/21/2019,March,2019,,670.5,467.0,438.5
03/22/2019,March,2019,,670.5,465.5,436.0
03/25/2019,March,2019,,666.0,460.5,432.0
03/26/2019,March,2019,,666.0,463.0,433.5
03/27/2019,March,2019,,666.0,465.0,435.5
03/28/2019,March,2019,,666.5,464.5,435.0
03/29/2019,March,2019,,668.5,466.0,437.0
04/01/2019,April,2019,,670.5,468.0,439.5
04/02/2019,April,2019,,672.5,469.0,440.5
04/03/2019,April,2019,,675.0,469.5,440.0
04/04/2019,April,2019,,676.0,470.5,442.5
04/05/2019,April,2019,,674.0,463.5,441.0
04/08/2019,April,2019,,675.0,467.0,444.5
04/09/2019,April,2019,,678.5,469.0,446.5
04/10/2019,April,2019,,684.0,468.0,444.0
04/11/2019,April,2019,,681.0,466.0,444.0
04/12/2019,April,2019,,682.5,466.5,445.5
04/15/2019,April,2019,,682.5,467.0,445.5
04/16/2019,April,2019,,685.5,467.0,442.5
04/17/2019,April,2019,,685.0,468.0,442.0
04/18/2019,April,2019,,685.0,465.5,442.0
04/19/2019,April,2019,,687.5,469.0,441.5
04/22/2019,April,2019,,686.5,470.0,446.0
04/23/2019,April,2019,,693.0,474.0,449.0
04/24/2019,April,2019,,692.5,474.5,450.5
04/25/2019,April,2019,,695.5,480.0,457.0
04/26/2019,April,2019,,683.5,485.0,455.5
04/29/2019,April,2019,,689.0,480.5,449.5
04/30/2019,April,2019,,687.0,481.0,451.0
05/01/2019,May,2019,,681.0,483.0,450.0
05/02/2019,May,2019,,685.5,480.5,447.0
05/03/2019,May,2019,,688.0,477.5,443.0
05/06/2019,May,2019,,688.0,473.5,438.5
05/07/2019,May,2019,,688.0,470.0,435.5
05/08/2019,May,2019,,688.5,465.5,433.0
05/09/2019,May,2019,,687.5,465.5,432.5
05/10/2019,May,2019,,688.5,466.0,434.5
05/13/2019,May,2019,,685.5,465.5,436.5
05/14/2019,May,2019,,686.5,460.0,434.5
05/15/2019,May,2019,,689.0,459.0,430.0
05/16/2019,May,2019,,688.5,459.5,432.5
05/17/2019,May,2019,,693.5,464.5,435.5
05/20/2019,May,2019,,698.0,468.5,439.0
05/21/2019,May,2019,,693.5,466.5,437.0
05/22/2019,May,2019,,690.5,465.5,434.0
05/23/2019,May,2019,,684.0,460.5,426.0
05/24/2019,May,2019,,674.5,451.5,421.5
05/27/2019,May,2019,,676.0,453.5,420.0
05/28/2019,May,2019,,677.5,453.5,419.5
05/29/2019,May,2019,,676.0,451.0,418.0
05/30/2019,May,2019,,670.5,449.5,416.0
05/31/2019,May,2019,,663.5,440.5,410.5
06/03/2019,June,2019,,653.0,436.0,402.0
06/04/2019,June,2019,,642.5,431.5,396.0
06/05/2019,June,2019,,641.0,428.0,395.5
06/06/2019,June,2019,,636.5,424.0,394.5
06/07/2019,June,2019,,637.0,427.5,399.0
06/10/2019,June,2019,,637.0,428.5,402.0
06/11/2019,June,2019,,637.0,430.0,399.0
06/12/2019,June,2019,,630.0,422.5,395.5
06/13/2019,June,2019,,629.0,421.0,390.0
06/14/2019,June,2019,,622.5,418.5,387.5
06/17/2019,June,2019,,623.5,416.0,386.0
06/18/2019,June,2019,,627.5,415.0,385.5
06/19/2019,June,2019,,628.0,420.5,388.0
06/20/2019,June,2019,,631.0,423.5,392.5
06/21/2019,June,2019,,637.5,431.0,400.0
06/24/2019,June,2019,,637.5,435.5,404.0
06/25/2019,June,2019,,642.0,437.5,408.0
06/26/2019,June,2019,,647.0,441.5,412.5
06/27/2019,June,2019,,651.5,446.5,417.0
06/28/2019,June,2019,,651.5,449.0,421.0
07/01/2019,July,2019,,651.5,450.5,422.5
07/02/2019,July,2019,,651.5,451.5,420.0
07/03/2019,July,2019,,649.0,450.0,419.0
07/04/2019,July,2019,,647.5,451.0,421.5
07/05/2019,July,2019,,644.5,452.5,427.5
07/08/2019,July,2019,,644.5,455.0,432.0
07/09/2019,July,2019,,647.0,461.5,434.0
07/10/2019,July,2019,,651.0,464.5,440.0
07/11/2019,July,2019,,658.5,480.0,457.5
07/12/2019,July,2019,,664.5,486.5,464.0
07/15/2019,July,2019,,666.5,486.5,456.5
07/16/2019,July,2019,,664.0,478.0,447.5
07/17/2019,July,2019,,658.5,472.5,441.0
07/18/2019,July,2019,,652.0,470.5,437.0
07/19/2019,July,2019,,646.0,467.0,434.0
07/22/2019,July,2019,,649.0,470.5,439.0
07/23/2019,July,2019,,651.0,469.0,437.5
07/24/2019,July,2019,,650.0,466.0,433.5
07/25/2019,July,2019,,652.0,465.5,433.0
07/26/2019,July,2019,,651.0,464.5,433.5
07/29/2019,July,2019,,652.0,464.5,433.0
07/30/2019,July,2019,,652.0,465.0,435.0
07/31/2019,July,2019,,657.0,470.5,441.5
08/01/2019,August,2019,,659.0,472.5,444.0
08/02/2019,August,2019,,649.0,462.0,429.5
08/05/2019,August,2019,,645.5,454.0,421.0
08/06/2019,August,2019,,637.5,439.5,409.5
08/07/2019,August,2019,,627.0,425.5,394.5
08/08/2019,August,2019,,617.5,405.5,376.5
08/09/2019,August,2019,,616.0,399.5,370.0
08/12/2019,August,2019,,619.0,404.0,370.5
08/13/2019,August,2019,,622.0,399.0,367.0
08/14/2019,August,2019,,628.5,401.0,369.5
08/15/2019,August,2019,,626.0,389.5,359.0
08/16/2019,August,2019,,628.0,391.0,358.0
08/19/2019,August,2019,,628.0,394.0,361.0
08/20/2019,August,2019,,629.5,397.0,367.0
08/21/2019,August,2019,,630.0,399.0,366.5
08/22/2019,August,2019,,631.5,401.5,370.5
08/23/2019,August,2019,,632.0,403.5,372.5
08/26/2019,August,2019,,629.0,400.0,375.0
08/27/2019,August,2019,,626.0,402.5,378.0
08/28/2019,August,2019,,630.5,412.5,387.5
08/29/2019,August,2019,,633.5,415.0,388.0
08/30/2019,August,2019,,635.5,414.0,388.5
09/02/2019,September,2019,,632.0,413.0,381.0
09/03/2019,September,2019,,626.0,405.5,369.5
09/04/2019,September,2019,,625.0,405.0,373.5
09/05/2019,September,2019,,631.5,424.5,382.0
09/06/2019,September,2019,,638.5,436.0,394.5
09/09/2019,September,2019,,641.0,444.5,404.0
09/10/2019,September,2019,,646.0,451.5,408.5
09/11/2019,September,2019,,649.5,449.0,406.5
09/12/2019,September,2019,,650.0,447.0,404.5
09/13/2019,September,2019,,648.0,456.0,418.5
