period,report_date,report_year,chart_series,panel,period_label,value_usd_per_day,is_latest,source_file
2019-10,2021-10-18,2021,1y_tc,Aframax 1y TC,Oct-19,23000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-01,2021-10-18,2021,1y_tc,Aframax 1y TC,Jan-20,27000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-04,2021-10-18,2021,1y_tc,Aframax 1y TC,Apr-20,27000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-07,2021-10-18,2021,1y_tc,Aframax 1y TC,Jul-20,23000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-10,2021-10-18,2021,1y_tc,Aframax 1y TC,Oct-20,18000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2020-11,2022-07-01,2022,1y_tc,Aframax 1y TC,Nov-20,17700,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-01,2021-10-18,2021,1y_tc,Aframax 1y TC,Jan-21,16000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-01,2022-07-01,2022,1y_tc,Aframax 1y TC,Jan-21,16800,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-03,2022-07-01,2022,1y_tc,Aframax 1y TC,Mar-21,16500,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-04,2021-10-18,2021,1y_tc,Aframax 1y TC,Apr-21,16000,1,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-05,2022-07-01,2022,1y_tc,Aframax 1y TC,May-21,18600,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
2021-07,2021-10-18,2021,1y_tc,Aframax 1y TC,Jul-21,16000,0,xclusiv_2021_xclusiv_weekly_2021_10_18.tables.json
2021-07,2022-07-01,2022,1y_tc,Aframax 1y TC,Jul-21,18700,1,xclusiv_2022_xclusiv_weekly_2022_07_01.tables.json
