Date,Month,Year,Gulf_To_Japan,PNW_To_Japan,Gulf_PNW_Spread
January 1996,1,1996,27.67,15.62,12.05
February 1996,2,1996,25.05,15.36,9.69
March 1996,3,1996,24.92,14.1,10.83
April 1996,4,1996,25.85,14.04,11.81
May 1996,5,1996,25.43,13.88,11.54
June 1996,6,1996,23.49,12.63,10.86
July 1996,7,1996,21.45,11.14,10.32
August 1996,8,1996,20.88,10.68,10.2
September 1996,9,1996,19.33,10.52,8.81
October 1996,10,1996,21.47,11.81,9.66
November 1996,11,1996,24.62,14.92,9.7
December 1996,12,1996,25.65,15.12,10.53
January 1997,1,1997,25.51,14.24,11.27
February 1997,2,1997,25.58,14.51,11.07
March 1997,3,1997,25.31,15.51,9.8
April 1997,4,1997,23.6,14.37,9.23
May 1997,5,1997,21.8,12.57,9.24
June 1997,6,1997,21.44,12.26,9.18
July 1997,7,1997,23.61,13.57,10.04
August 1997,8,1997,22.8,12.95,9.85
September 1997,9,1997,23.22,13.18,10.04
October 1997,10,1997,23.22,13.65,9.56
November 1997,11,1997,20.64,13.01,7.64
December 1997,12,1997,21.21,12.51,8.7
January 1998,1,1998,20.35,11.43,8.93
February 1998,2,1998,17.85,9.4,8.45
March 1998,3,1998,18.46,12.19,6.27
April 1998,4,1998,18.14,11.52,6.62
May 1998,5,1998,17.08,10.89,6.19
June 1998,6,1998,14.4,10.62,3.78
July 1998,7,1998,13.42,10.02,3.39
August 1998,8,1998,12.71,9.71,3.0
September 1998,9,1998,12.73,10.16,2.58
October 1998,10,1998,13.77,11.96,1.81
November 1998,11,1998,13.35,12.45,0.91
December 1998,12,1998,12.51,10.78,1.73
January 1999,1,1999,13.92,9.56,4.35
February 1999,2,1999,15.13,9.22,5.91
March 1999,3,1999,16.32,10.34,5.98
April 1999,4,1999,16.16,9.58,6.57
May 1999,5,1999,18.28,11.26,7.02
June 1999,6,1999,16.4,11.73,4.67
July 1999,7,1999,17.58,10.94,6.64
August 1999,8,1999,19.0,10.91,8.08
September 1999,9,1999,20.73,11.36,9.38
October 1999,10,1999,22.29,13.69,8.59
November 1999,11,1999,22.43,14.17,8.26
December 1999,12,1999,20.49,13.87,6.62
January 2000,1,2000,21.57,14.75,6.81
February 2000,2,2000,20.74,14.83,5.91
March 2000,3,2000,22.05,16.42,5.63
April 2000,4,2000,22.59,15.77,6.82
May 2000,5,2000,23.05,15.64,7.4
June 2000,6,2000,23.26,15.94,7.32
July 2000,7,2000,23.5,15.89,7.61
August 2000,8,2000,23.67,15.86,7.81
September 2000,9,2000,24.72,16.33,8.39
October 2000,10,2000,25.0,16.13,8.87
November 2000,11,2000,23.92,16.11,7.81
December 2000,12,2000,21.8,16.1,5.71
January 2001,1,2001,22.2,17.04,5.16
February 2001,2,2001,21.67,16.95,4.71
March 2001,3,2001,22.52,17.46,5.06
April 2001,4,2001,22.49,16.15,6.35
May 2001,5,2001,23.45,14.57,8.88
June 2001,6,2001,22.76,13.31,9.45
July 2001,7,2001,20.31,13.01,7.3
August 2001,8,2001,18.01,10.68,7.33
September 2001,9,2001,18.05,10.8,7.24
October 2001,10,2001,17.43,10.4,7.02
November 2001,11,2001,17.29,9.73,7.56
December 2001,12,2001,16.27,10.54,5.73
January 2002,1,2002,17.64,11.34,6.29
February 2002,2,2002,17.65,11.28,6.37
March 2002,3,2002,19.46,11.3,8.15
April 2002,4,2002,20.81,11.21,9.6
May 2002,5,2002,21.3,11.82,9.48
June 2002,6,2002,18.43,11.64,6.79
July 2002,7,2002,18.41,11.97,6.44
August 2002,8,2002,19.62,11.17,8.45
September 2002,9,2002,22.99,12.15,10.83
October 2002,10,2002,24.53,13.44,11.09
November 2002,11,2002,24.7,15.16,9.54
December 2002,12,2002,25.1,18.33,6.77
