date,volume_mt,bituminous_mt,other_coal_mt,lignite_mt,headline_coal_mt,total_coal_and_lignite_mt,value_usd,seaborne_mt,top_destination_1,top_destination_2,top_destination_3,source_url,publisher,source_quote,method
2018-01-01,34.66,8.53,19.26,6.87,27.79,34.66,1966478229.17,34.66,China 11.86 Mt (34.2%),India 7.19 Mt (20.7%),South Korea 3.78 Mt (10.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-02-01,32.57,7.15,17.85,7.57,25.0,32.57,1843607687.93,32.57,China 12.95 Mt (39.7%),India 7.2 Mt (22.1%),South Korea 2.53 Mt (7.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-03-01,38.03,8.67,21.67,7.69,30.34,38.03,2224152717.55,38.03,China 12.66 Mt (33.3%),India 9.17 Mt (24.1%),South Korea 3.57 Mt (9.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-04-01,33.25,6.64,20.27,6.34,26.91,33.25,1857821417.71,33.25,India 8.88 Mt (26.7%),China 8.29 Mt (24.9%),South Korea 3.14 Mt (9.4%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-05-01,35.89,5.99,21.99,7.9,27.98,35.89,1929196581.28,35.89,China 11.16 Mt (31.1%),India 10.44 Mt (29.1%),South Korea 2.41 Mt (6.7%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-06-01,35.64,5.83,21.84,7.97,27.67,35.64,1993423313.11,35.64,China 12.29 Mt (34.5%),India 7.32 Mt (20.5%),South Korea 3.51 Mt (9.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-07-01,38.32,6.7,24.17,7.46,30.86,38.32,2268620589.22,38.32,China 11.02 Mt (28.7%),India 9.11 Mt (23.8%),South Korea 3.39 Mt (8.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-08-01,32.68,5.65,21.08,5.95,26.73,32.68,1950677792.15,32.68,India 8.46 Mt (25.9%),China 8.25 Mt (25.3%),South Korea 2.83 Mt (8.6%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-09-01,35.27,4.75,23.52,7.0,28.27,35.27,1943800130.37,35.27,India 10.41 Mt (29.5%),China 9.4 Mt (26.6%),South Korea 3.28 Mt (9.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-10-01,40.42,5.7,25.95,8.77,31.65,40.42,2133456297.78,40.42,China 12.99 Mt (32.1%),India 12.0 Mt (29.7%),South Korea 2.65 Mt (6.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-11-01,35.66,6.66,22.44,6.57,29.1,35.66,1955715102.89,35.66,India 9.52 Mt (26.7%),China 9.43 Mt (26.4%),South Korea 3.39 Mt (9.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2018-12-01,36.67,7.11,23.72,5.85,30.82,36.67,1901133282.55,36.67,India 11.24 Mt (30.6%),China 8.59 Mt (23.4%),South Korea 4.07 Mt (11.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-01-01,39.68,5.75,26.0,7.93,31.75,39.68,1909234275.12,39.68,China 11.32 Mt (28.5%),India 10.99 Mt (27.7%),South Korea 3.82 Mt (9.6%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-02-01,34.56,4.08,23.83,6.65,27.91,34.56,1645873552.73,34.56,India 11.0 Mt (31.8%),China 9.21 Mt (26.7%),Malaysia 2.08 Mt (6.0%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-03-01,42.05,6.17,26.83,9.05,33.0,42.05,2052986978.78,42.05,India 13.26 Mt (31.5%),China 12.65 Mt (30.1%),South Korea 2.48 Mt (5.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-04-01,38.52,5.79,25.01,7.72,30.8,38.52,1926957191.83,38.52,China 11.72 Mt (30.4%),India 11.36 Mt (29.5%),Philippines 2.44 Mt (6.3%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-05-01,41.08,5.8,26.68,8.6,32.48,41.08,2021818894.43,41.08,China 15.72 Mt (38.3%),India 10.32 Mt (25.1%),Philippines 2.52 Mt (6.1%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-06-01,33.67,5.45,22.22,6.0,27.67,33.67,1720676023.84,33.67,China 12.26 Mt (36.4%),India 6.15 Mt (18.3%),Japan 2.66 Mt (7.9%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-07-01,39.17,6.72,24.27,8.18,30.99,39.17,1856852101.92,39.17,China 15.36 Mt (39.2%),India 7.82 Mt (20.0%),South Korea 2.56 Mt (6.5%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-08-01,36.12,6.11,23.94,6.06,30.05,36.12,1698560786.3,36.12,China 12.33 Mt (34.1%),India 7.78 Mt (21.5%),Philippines 2.8 Mt (7.8%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-09-01,37.44,6.8,25.39,5.24,32.2,37.44,1667593614.38,37.44,China 11.65 Mt (31.1%),India 10.67 Mt (28.5%),Philippines 2.47 Mt (6.6%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
2019-10-01,40.97,6.77,27.69,6.51,34.46,40.97,1812892376.77,40.97,China 13.15 Mt (32.1%),India 11.59 Mt (28.3%),Japan 2.55 Mt (6.2%),https://webapi.bps.go.id/v1/api/dataexim/,Badan Pusat Statistik (BPS) Indonesia,,BPS Official Export API v1 (dataexim 8-digit series)
