date,port,export_tonnes_mt,coal_grade,vessels_loaded_count,primary_destinations
2024-01-01,Newcastle,11.8,Thermal,124,"Japan, Taiwan, Korea"
2024-01-01,Dalrymple Bay,4.9,Metallurgical,48,"India, Japan, China"
2024-01-01,Gladstone,5.2,Combined,55,"India, Japan, Korea"
2024-02-01,Newcastle,10.9,Thermal,115,"Japan, Taiwan, Korea"
2024-02-01,Dalrymple Bay,4.6,Metallurgical,45,"India, Japan, China"
2024-02-01,Gladstone,4.8,Combined,51,"India, Japan, Korea"
2024-03-01,Newcastle,12.5,Thermal,132,"Japan, Taiwan, Korea"
2024-03-01,Dalrymple Bay,5.3,Metallurgical,52,"India, Japan, China"
2024-03-01,Gladstone,5.6,Combined,58,"India, Japan, Korea"
2024-04-01,Newcastle,12.1,Thermal,128,"Japan, Taiwan, Korea"
2024-04-01,Dalrymple Bay,5.1,Metallurgical,50,"India, Japan, China"
2024-04-01,Gladstone,5.4,Combined,56,"India, Japan, Korea"
2024-05-01,Newcastle,13.2,Thermal,139,"Japan, Taiwan, Korea"
2024-05-01,Dalrymple Bay,5.5,Metallurgical,54,"India, Japan, China"
2024-05-01,Gladstone,5.8,Combined,60,"India, Japan, Korea"
2024-06-01,Newcastle,13.6,Thermal,144,"Japan, Taiwan, Korea"
2024-06-01,Dalrymple Bay,5.7,Metallurgical,56,"India, Japan, China"
2024-06-01,Gladstone,6.0,Combined,62,"India, Japan, Korea"
2024-07-01,Newcastle,12.4,Thermal,131,"Japan, Taiwan, Korea"
2024-07-01,Dalrymple Bay,5.2,Metallurgical,51,"India, Japan, China"
2024-07-01,Gladstone,5.5,Combined,57,"India, Japan, Korea"
2024-08-01,Newcastle,12.9,Thermal,136,"Japan, Taiwan, Korea"
2024-08-01,Dalrymple Bay,5.4,Metallurgical,53,"India, Japan, China"
2024-08-01,Gladstone,5.7,Combined,59,"India, Japan, Korea"
2024-09-01,Newcastle,13.1,Thermal,138,"Japan, Taiwan, Korea"
2024-09-01,Dalrymple Bay,5.5,Metallurgical,54,"India, Japan, China"
2024-09-01,Gladstone,5.8,Combined,60,"India, Japan, Korea"
2024-10-01,Newcastle,13.4,Thermal,141,"Japan, Taiwan, Korea"
2024-10-01,Dalrymple Bay,5.6,Metallurgical,55,"India, Japan, China"
2024-10-01,Gladstone,5.9,Combined,61,"India, Japan, Korea"
2024-11-01,Newcastle,12.8,Thermal,135,"Japan, Taiwan, Korea"
2024-11-01,Dalrymple Bay,5.3,Metallurgical,52,"India, Japan, China"
2024-11-01,Gladstone,5.6,Combined,58,"India, Japan, Korea"
2024-12-01,Newcastle,14.1,Thermal,148,"Japan, Taiwan, Korea"
