date,period,commodity,hs_code,reporter,partner,import_volume_mt,cif_usd,avg_cif_usd_t
2024-01-01,202401,Bauxite,260600,China,Guinea,11.2,772800000.0,69.0
2024-02-01,202402,Bauxite,260600,China,Guinea,11.32,798060000.0,70.5
2024-03-01,202403,Bauxite,260600,China,Guinea,11.44,823680000.0,72.0
2024-04-01,202404,Bauxite,260600,China,Guinea,11.56,849660000.0,73.5
2024-05-01,202405,Bauxite,260600,China,Guinea,11.68,876000000.0,75.0
2024-06-01,202406,Bauxite,260600,China,Guinea,11.79,813510000.0,69.0
2024-07-01,202407,Bauxite,260600,China,Guinea,9.71,684555000.0,70.5
2024-08-01,202408,Bauxite,260600,China,Guinea,9.83,707760000.0,72.0
2024-09-01,202409,Bauxite,260600,China,Guinea,9.95,731325000.0,73.5
2024-10-01,202410,Bauxite,260600,China,Guinea,12.27,920250000.0,75.0
2024-11-01,202411,Bauxite,260600,China,Guinea,12.39,854910000.0,69.0
2024-12-01,202412,Bauxite,260600,China,Guinea,12.51,881955000.0,70.5
2025-01-01,202501,Bauxite,260600,China,Guinea,12.62,908640000.0,72.0
2025-02-01,202502,Bauxite,260600,China,Guinea,12.74,936390000.0,73.5
2025-03-01,202503,Bauxite,260600,China,Guinea,12.86,964500000.0,75.0
2025-04-01,202504,Bauxite,260600,China,Guinea,12.98,895620000.0,69.0
2025-05-01,202505,Bauxite,260600,China,Guinea,13.1,923550000.0,70.5
2025-06-01,202506,Bauxite,260600,China,Guinea,13.22,951840000.0,72.0
2025-07-01,202507,Bauxite,260600,China,Guinea,11.14,818790000.0,73.5
2025-08-01,202508,Bauxite,260600,China,Guinea,11.26,844500000.0,75.0
2025-09-01,202509,Bauxite,260600,China,Guinea,11.38,785220000.0,69.0
2025-10-01,202510,Bauxite,260600,China,Guinea,13.69,965145000.0,70.5
2025-11-01,202511,Bauxite,260600,China,Guinea,13.81,994320000.0,72.0
2025-12-01,202512,Bauxite,260600,China,Guinea,13.93,1023855000.0,73.5
2026-01-01,202601,Bauxite,260600,China,Guinea,14.05,1053750000.0,75.0
2026-02-01,202602,Bauxite,260600,China,Guinea,14.17,977730000.0,69.0
2026-03-01,202603,Bauxite,260600,China,Guinea,14.29,1007445000.0,70.5
2026-04-01,202604,Bauxite,260600,China,Guinea,14.41,1037520000.0,72.0
2026-05-01,202605,Bauxite,260600,China,Guinea,14.53,1067955000.0,73.5
2026-06-01,202606,Bauxite,260600,China,Guinea,14.64,1098000000.0,75.0
2026-07-01,202607,Bauxite,260600,China,Guinea,12.56,866640000.0,69.0
2026-08-01,202608,Bauxite,260600,China,Guinea,12.68,893940000.0,70.5
