date,quarter,miner,production_mt_100pct,production_mt_equity_share,shipments_mt_100pct,shipments_mt_equity_share,pilbara_production_mt,pilbara_shipments_mt,ore_mined_mt,production_mt,shipments_mt,c1_cash_cost_usd_t,annual_guidance,primary_loading_terminals,provenance,exhibit_url,table_row_label,basis
2024-03-31,2024 Q1,BHP,68.1,58.0,69.8,59.5,,,,68.1,69.8,,,"Port Hedland (Nelson Point, Finucane)",illustrative_prior_estimate,,WAIO iron ore production,WAIO; historical estimate
2024-03-31,2024 Q1,Fortescue,48.0,,43.3,,,,,48.0,43.3,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2024-03-31,2024 Q1,Rio Tinto,77.9,,78.0,,,,,77.9,78.0,,,"Dampier, Cape Lambert",illustrative_prior_estimate,,Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2024-03-31,2024 Q1,Vale,70.8,,63.8,,,,,70.8,63.8,,,"Ponta da Madeira, Tubarão",illustrative_prior_estimate,,Iron ore fines (production / sales),Iron ore fines; historical estimate
2024-06-30,2024 Q2,BHP,76.5,65.0,75.9,64.5,,,,76.5,75.9,,,"Port Hedland (Nelson Point, Finucane)",illustrative_prior_estimate,,WAIO iron ore production,WAIO; historical estimate
2024-06-30,2024 Q2,Fortescue,54.0,,53.7,,,,,54.0,53.7,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2024-06-30,2024 Q2,Rio Tinto,79.5,,80.3,,,,,79.5,80.3,,,"Dampier, Cape Lambert",illustrative_prior_estimate,,Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2024-06-30,2024 Q2,Vale,80.6,,79.8,,,,,80.6,79.8,,,"Ponta da Madeira, Tubarão",illustrative_prior_estimate,,Iron ore fines (production / sales),Iron ore fines; historical estimate
2024-09-30,2024 Q3,BHP,71.6,61.0,71.4,60.8,,,,71.6,71.4,,,"Port Hedland (Nelson Point, Finucane)",illustrative_prior_estimate,,WAIO iron ore production,WAIO; historical estimate
2024-09-30,2024 Q3,Fortescue,49.0,,47.7,,,,,49.0,47.7,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2024-09-30,2024 Q3,Rio Tinto,84.1,,84.5,,,,,84.1,84.5,,,"Dampier, Cape Lambert",illustrative_prior_estimate,,Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2024-09-30,2024 Q3,Vale,90.9,,81.8,,,,,90.9,81.8,,,"Ponta da Madeira, Tubarão",illustrative_prior_estimate,,Iron ore fines (production / sales),Iron ore fines; historical estimate
2024-12-31,2024 Q4,BHP,72.4,61.5,73.2,62.2,,,,72.4,73.2,,,"Port Hedland (Nelson Point, Finucane)",illustrative_prior_estimate,,WAIO iron ore production,WAIO; historical estimate
2024-12-31,2024 Q4,Fortescue,50.0,,49.4,,,,,50.0,49.4,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2024-12-31,2024 Q4,Rio Tinto,86.0,,87.1,,,,,86.0,87.1,,,"Dampier, Cape Lambert",illustrative_prior_estimate,,Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2024-12-31,2024 Q4,Vale,89.4,,87.2,,,,,89.4,87.2,,,"Ponta da Madeira, Tubarão",illustrative_prior_estimate,,Iron ore fines (production / sales),Iron ore fines; historical estimate
2025-03-31,2025 Q1,BHP,68.1,57.9,71.2,60.5,,,,68.1,71.2,,,"Port Hedland (Nelson Point, Finucane)",illustrative_prior_estimate,,WAIO iron ore production,WAIO; historical estimate
2025-03-31,2025 Q1,Fortescue,47.0,,45.1,,,,,47.0,45.1,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2025-03-31,2025 Q1,Rio Tinto,77.7,,80.5,,,,,77.7,80.5,,,"Dampier, Cape Lambert",illustrative_prior_estimate,,Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2025-03-31,2025 Q1,Vale,70.8,,65.2,,,,,70.8,65.2,,,"Ponta da Madeira, Tubarão",illustrative_prior_estimate,,Iron ore fines (production / sales),Iron ore fines; historical estimate
2025-06-30,2025 Q2,BHP,,68.348,,67.83,,,,,,,,"Port Hedland (Nelson Point, Finucane)",EDGAR:0001193125-26-306705,https://www.sec.gov/Archives/edgar/data/811809/000119312526306705/d212012d6k.htm,Western Australia Iron Ore (WAIO),"WAIO; BHP equity share; Jun 2025 quarter production (68,348 kt) and sales (67,830 kt); FY26 Operational Review comparative"
2025-06-30,2025 Q2,Fortescue,55.0,,55.4,,,,,55.0,55.4,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2025-06-30,2025 Q2,Rio Tinto,,,,,83.743,79.887,,,,,,"Dampier, Cape Lambert",EDGAR:0000863064-26-000035,https://www.sec.gov/Archives/edgar/data/863064/000086306426000035/ex991results.htm,Total production ('000 tonnes) / Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2025-06-30,2025 Q2,Vale,83.599,,77.346,,,,,83.599,77.346,,,"Ponta da Madeira, Tubarão",EDGAR:0001292814-26-003838,https://www.sec.gov/Archives/edgar/data/917851/000129281426003838/vale20260721_6k1.htm,Iron ore (production) / Iron ore (sales),"Iron ore production (83,599 kt) and sales (77,346 kt); '000 metric tons; comparative from 2Q26 report"
2025-09-30,2025 Q3,BHP,,62.015,,62.43,,,,,,,,"Port Hedland (Nelson Point, Finucane)",EDGAR:0001193125-26-306705,https://www.sec.gov/Archives/edgar/data/811809/000119312526306705/d212012d6k.htm,Western Australia Iron Ore (WAIO),"WAIO; BHP equity share; Sep 2025 quarter production (62,015 kt) and sales (62,430 kt); FY26 Operational Review comparative"
2025-09-30,2025 Q3,Fortescue,50.0,,49.8,,,,,50.0,49.8,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2025-09-30,2025 Q3,Rio Tinto,,,,,84.104,84.346,,,,,,"Dampier, Cape Lambert",EDGAR:0000863064-26-000035,https://www.sec.gov/Archives/edgar/data/863064/000086306426000035/ex991results.htm,Total production ('000 tonnes) / Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2025-09-30,2025 Q3,Vale,90.9,,84.5,,,,,90.9,84.5,,,"Ponta da Madeira, Tubarão",illustrative_prior_estimate,,Iron ore fines (production / sales),Iron ore fines; historical estimate
2025-12-31,2025 Q4,BHP,,67.766,,66.909,,,,,,,,"Port Hedland (Nelson Point, Finucane)",EDGAR:0001193125-26-306705,https://www.sec.gov/Archives/edgar/data/811809/000119312526306705/d212012d6k.htm,Western Australia Iron Ore (WAIO),"WAIO; BHP equity share; Dec 2025 quarter production (67,766 kt) and sales (66,909 kt); FY26 Operational Review comparative"
2025-12-31,2025 Q4,Fortescue,51.0,,50.5,,,,,51.0,50.5,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2025-12-31,2025 Q4,Rio Tinto,,,,,89.674,91.259,,,,,,"Dampier, Cape Lambert",EDGAR:0000863064-26-000035,https://www.sec.gov/Archives/edgar/data/863064/000086306426000035/ex991results.htm,Total production ('000 tonnes) / Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2025-12-31,2025 Q4,Vale,89.4,,89.9,,,,,89.4,89.9,,,"Ponta da Madeira, Tubarão",illustrative_prior_estimate,,Iron ore fines (production / sales),Iron ore fines; historical estimate
2026-03-31,2026 Q1,BHP,,60.922,,58.608,,,,,,,,"Port Hedland (Nelson Point, Finucane)",EDGAR:0001193125-26-306705,https://www.sec.gov/Archives/edgar/data/811809/000119312526306705/d212012d6k.htm,Western Australia Iron Ore (WAIO),"WAIO; BHP equity share; Mar 2026 quarter production (60,922 kt) and sales (58,608 kt); FY26 Operational Review comparative"
2026-03-31,2026 Q1,Fortescue,47.0,,43.3,,,,,47.0,43.3,,,Port Hedland (Herb Elliott),illustrative_prior_estimate,,Ore shipped,Ore shipped wmt; historical estimate
2026-03-31,2026 Q1,Rio Tinto,,,,,78.813,72.387,,,,,,"Dampier, Cape Lambert",EDGAR:0000863064-26-000035,https://www.sec.gov/Archives/edgar/data/863064/000086306426000035/ex991results.htm,Total production ('000 tonnes) / Total shipments ('000 tonnes),"Pilbara 100% basis ('000 t, Pilbara operations table); global 100% sales where stated from the summary table (Pilbara + IOC + Simandou)"
2026-03-31,2026 Q1,Vale,69.675,,68.713,,,,,69.675,68.713,,,"Ponta da Madeira, Tubarão",EDGAR:0001292814-26-003838,https://www.sec.gov/Archives/edgar/data/917851/000129281426003838/vale20260721_6k1.htm,Iron ore (production) / Iron ore (sales),"Iron ore production (69,675 kt) and sales (68,713 kt); '000 metric tons; comparative from 2Q26 report"
2026-06-30,2026 Q2,BHP,74.8,66.174,,66.43,,,,74.8,,,251-262 Mt (BHP share),"Port Hedland (Nelson Point, Finucane)",EDGAR:0001193125-26-306705,https://www.sec.gov/Archives/edgar/data/811809/000119312526306705/d212012d6k.htm,WAIO (100% basis) (Mt) / Western Australia Iron Ore (WAIO),"WAIO 100% basis production (74.8 Mt) & BHP equity share Jun 2026 production (66,174 kt) and sales (66,430 kt); FY26 Operational Review"
