date,gulf_to_japan_usd_t,pnw_to_japan_usd_t,gulf_to_china_usd_t,pnw_to_china_usd_t,gulf_pnw_spread_usd_t
2024-01-04,52.0,30.5,54.5,32.3,21.5
2024-01-11,53.25,30.43,55.75,32.23,22.82
2024-01-18,54.4,30.15,56.9,31.95,24.25
2024-01-25,55.35,29.68,57.85,31.48,25.67
2024-02-01,56.02,29.08,58.52,30.88,26.94
2024-02-08,56.35,28.39,58.85,30.19,27.96
2024-02-15,56.33,27.69,58.83,29.49,28.64
2024-02-22,55.96,27.04,58.46,28.84,28.92
2024-02-29,55.28,26.5,57.78,28.3,28.78
2024-03-07,54.36,26.13,56.86,27.93,28.23
2024-03-14,53.29,25.96,55.79,27.76,27.33
2024-03-21,52.17,26.01,54.67,27.81,26.16
2024-03-28,51.1,26.28,53.6,28.08,24.82
2024-04-04,50.19,26.75,52.69,28.55,23.44
2024-04-11,49.53,27.38,52.03,29.18,22.15
2024-04-18,49.18,28.13,51.68,29.93,21.05
2024-04-25,49.17,28.91,51.67,30.71,20.26
2024-05-02,49.53,29.68,52.03,31.48,19.85
2024-05-09,50.21,30.37,52.71,32.17,19.84
2024-05-16,51.17,30.91,53.67,32.71,20.26
2024-05-23,52.33,31.27,54.83,33.07,21.06
2024-05-30,53.59,31.41,56.09,33.21,22.18
2024-06-06,54.84,31.33,57.34,33.13,23.51
2024-06-13,55.98,31.04,58.48,32.84,24.94
2024-06-20,56.91,30.56,59.41,32.36,26.35
2024-06-27,57.56,29.95,60.06,31.75,27.61
2024-07-04,57.88,29.27,60.38,31.07,28.61
2024-07-11,57.84,28.57,60.34,30.37,29.27
2024-07-18,57.45,27.92,59.95,29.72,29.53
2024-07-25,56.75,27.39,59.25,29.19,29.36
2024-08-01,55.82,27.03,58.32,28.83,28.79
2024-08-08,54.74,26.87,57.24,28.67,27.87
2024-08-15,53.62,26.93,56.12,28.73,26.69
2024-08-22,52.56,27.21,55.06,29.01,25.35
2024-08-29,51.66,27.69,54.16,29.49,23.97
2024-09-05,51.02,28.33,53.52,30.13,22.69
2024-09-12,50.68,29.08,53.18,30.88,21.6
2024-09-19,50.7,29.87,53.2,31.67,20.83
2024-09-26,51.08,30.64,53.58,32.44,20.44
2024-10-03,51.78,31.31,54.28,33.11,20.47
2024-10-10,52.75,31.85,55.25,33.65,20.9
2024-10-17,53.92,32.19,56.42,33.99,21.73
2024-10-24,55.18,32.32,57.68,34.12,22.86
2024-10-31,56.43,32.23,58.93,34.03,24.2
2024-11-07,57.56,31.93,60.06,33.73,25.63
2024-11-14,58.48,31.44,60.98,33.24,27.04
2024-11-21,59.11,30.83,61.61,32.63,28.28
2024-11-28,59.4,30.14,61.9,31.94,29.26
2024-12-05,59.34,29.44,61.84,31.24,29.9
2024-12-12,58.93,28.8,61.43,30.6,30.13
2024-12-19,58.22,28.27,60.72,30.07,29.95
2024-12-26,57.28,27.92,59.78,29.72,29.36
2025-01-02,56.2,27.78,58.7,29.58,28.42
2025-01-09,55.08,27.85,57.58,29.65,27.23
2025-01-16,54.02,28.14,56.52,29.94,25.88
2025-01-23,53.14,28.64,55.64,30.44,24.5
2025-01-30,52.51,29.28,55.01,31.08,23.23
2025-02-06,52.19,30.03,54.69,31.83,22.16
2025-02-13,52.23,30.82,54.73,32.62,21.41
2025-02-20,52.63,31.59,55.13,33.39,21.04
2025-02-27,53.34,32.26,55.84,34.06,21.08
2025-03-06,54.33,32.78,56.83,34.58,21.55
2025-03-13,55.5,33.12,58.0,34.92,22.38
2025-03-20,56.77,33.24,59.27,35.04,23.53
2025-03-27,58.01,33.13,60.51,34.93,24.88
2025-04-03,59.13,32.82,61.63,34.62,26.31
2025-04-10,60.04,32.32,62.54,34.12,27.72
2025-04-17,60.65,31.7,63.15,33.5,28.95
2025-04-24,60.93,31.01,63.43,32.81,29.92
2025-05-01,60.84,30.31,63.34,32.11,30.53
2025-05-08,60.42,29.67,62.92,31.47,30.75
2025-05-15,59.69,29.16,62.19,30.96,30.53
2025-05-22,58.74,28.82,61.24,30.62,29.92
2025-05-29,57.65,28.68,60.15,30.48,28.97
2025-06-05,56.53,28.77,59.03,30.57,27.76
2025-06-12,55.49,29.08,57.99,30.88,26.41
2025-06-19,54.61,29.58,57.11,31.38,25.03
2025-06-26,54.0,30.23,56.5,32.03,23.77
2025-07-03,53.7,30.99,56.2,32.79,22.71
2025-07-10,53.76,31.78,56.26,33.58,21.98
2025-07-17,54.17,32.54,56.67,34.34,21.63
2025-07-24,54.91,33.2,57.41,35.0,21.71
2025-07-31,55.91,33.72,58.41,35.52,22.19
2025-08-07,57.09,34.04,59.59,35.84,23.05
2025-08-14,58.36,34.15,60.86,35.95,24.21
2025-08-21,59.6,34.03,62.1,35.83,25.57
2025-08-28,60.71,33.7,63.21,35.5,27.01
2025-09-04,61.6,33.2,64.1,35.0,28.4
2025-09-11,62.19,32.57,64.69,34.37,29.62
2025-09-18,62.45,31.88,64.95,33.68,30.57
2025-09-25,62.35,31.18,64.85,32.98,31.17
2025-10-02,61.9,30.55,64.4,32.35,31.35
2025-10-09,61.16,30.05,63.66,31.85,31.11
2025-10-16,60.2,29.72,62.7,31.52,30.48
2025-10-23,59.11,29.59,61.61,31.39,29.52
2025-10-30,57.99,29.69,60.49,31.49,28.3
2025-11-06,56.95,30.01,59.45,31.81,26.94
2025-11-13,56.09,30.52,58.59,32.32,25.57
2025-11-20,55.49,31.18,57.99,32.98,24.31
2025-11-27,55.22,31.94,57.72,33.74,23.28
2025-12-04,55.29,32.73,57.79,34.53,22.56
2025-12-11,55.73,33.49,58.23,35.29,22.24
2025-12-18,56.48,34.15,58.98,35.95,22.33
2025-12-25,57.49,34.65,59.99,36.45,22.84
2026-01-01,58.68,34.96,61.18,36.76,23.72
2026-01-08,59.94,35.06,62.44,36.86,24.88
2026-01-15,61.18,34.93,63.68,36.73,26.25
2026-01-22,62.28,34.59,64.78,36.39,27.69
2026-01-29,63.16,34.08,65.66,35.88,29.08
2026-02-05,63.74,33.45,66.24,35.25,30.29
2026-02-12,63.97,32.75,66.47,34.55,31.22
2026-02-19,63.85,32.06,66.35,33.86,31.79
2026-02-26,63.39,31.43,65.89,33.23,31.96
2026-03-05,62.63,30.93,65.13,32.73,31.7
2026-03-12,61.66,30.61,64.16,32.41,31.05
2026-03-19,60.56,30.5,63.06,32.3,30.06
2026-03-26,59.45,30.62,61.95,32.42,28.83
2026-04-02,58.41,30.95,60.91,32.75,27.46
2026-04-09,57.57,31.47,60.07,33.27,26.1
2026-04-16,56.98,32.14,59.48,33.94,24.84
2026-04-23,56.73,32.9,59.23,34.7,23.83
2026-04-30,56.83,33.69,59.33,35.49,23.14
2026-05-07,57.28,34.44,59.78,36.24,22.84
2026-05-14,58.05,35.09,60.55,36.89,22.96
2026-05-21,59.07,35.59,61.57,37.39,23.48
2026-05-28,60.27,35.89,62.77,37.69,24.38
2026-06-04,61.53,35.97,64.03,37.77,25.56
2026-06-11,62.76,35.82,65.26,37.62,26.94
2026-06-18,63.85,35.48,66.35,37.28,28.37
2026-06-25,64.72,34.96,67.22,36.76,29.76
2026-07-02,65.28,34.32,67.78,36.12,30.96
2026-07-09,65.49,33.62,67.99,35.42,31.87
2026-07-16,65.35,32.93,67.85,34.73,32.42
2026-07-23,64.87,32.31,67.37,34.11,32.56
2026-07-30,64.1,31.82,66.6,33.62,32.28
2026-08-06,63.12,31.51,65.62,33.31,31.61
2026-08-13,62.02,31.42,64.52,33.22,30.6
2026-08-20,60.9,31.54,63.4,33.34,29.36
